what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1517401305982
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1517401305982
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1517401305983
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1517401305983
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1517401305984
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1517401305985
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1517401305986
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1517401305987
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1517401305989
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1517401305989
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1517401305989
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1517401305990
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1517401305992
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1517401305992
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1517401305993
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1517401305994
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1517401305997
os,sysinfo,,,"win32",1517401306000
arch,sysinfo,,,"x86",1517401306000
ws,sysinfo,,,"win32",1517401306000
locale,sysinfo,,,"en_GB",1517401306000
processors,sysinfo,,,"4",1517401306000
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1517401306000
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1517401306000
java.specification.name,sysinfo,,,"Java Platform API Specification",1517401306000
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1517401306000
java.specification.version,sysinfo,,,"1.6",1517401306000
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1517401306000
java.version,sysinfo,,,"1.6.0_02",1517401306000
java.vm.info,sysinfo,,,"mixed mode",1517401306000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1517401306000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1517401306000
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1517401306000
java.vm.specification.version,sysinfo,,,"1.0",1517401306000
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1517401306000
java.vm.version,sysinfo,,,"1.6.0_02-b06",1517401306000
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1517401306002
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1517401306012
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1517401306063
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1517401306095
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1517401306105
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1517401306223
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1517401306232
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1517401306245
